Product_ID,Gender,Age_Group,Marital_Status,State,Orders,Amount
P00141842,F,51-55,0,Andhra Pradesh,2,23053
P00115342,F,36-45,1,Andhra Pradesh,3,23047
P00220042,M,26-35,0,Haryana,2,21563
P00339042,F,46-50,0,Delhi,1,21547
P00000642,F,26-35,0,Delhi,1,21533
P00302742,F,18-25,1,Delhi,1,21503
P00150342,M,26-35,1,Karnataka,2,21495
P00261542,F,26-35,1,Delhi,3,21463
P00261842,F,36-45,0,Delhi,4,21427
P00114042,F,51-55,0,Delhi,4,21423
P00145042,M,18-25,1,Delhi,2,21401
P00121642,M,36-45,0,Maharashtra,3,21397
P00003242,M,26-35,1,Delhi,4,21388
P00265242,F,26-35,0,Maharashtra,4,21325
P00046742,M,18-25,0,Delhi,2,21320
P00220342,F,36-45,1,Delhi,2,21317
P00037042,F,26-35,0,Delhi,4,21293
P0096542,F,36-45,0,Delhi,1,21266
P00216742,M,18-25,0,Delhi,1,21259
P00213742,M,18-25,1,Kerala,2,21246
P00130742,F,26-35,0,Delhi,4,21218
P00248442,M,46-50,0,Andhra Pradesh,2,21178
P00129542,M,36-45,1,Karnataka,1,21178
P00261642,F,26-35,0,Delhi,4,21152
P00182542,F,18-25,0,Madhya Pradesh,2,21079
P00248942,M,18-25,1,Maharashtra,1,21058
P00152742,M,36-45,0,Delhi,1,21039
P00302342,F,36-45,1,Gujarat,3,21013
P00064042,F,18-25,1,Delhi,4,21009
P00173342,M,26-35,0,Delhi,4,20981
P00278642,F,18-25,1,Kerala,4,20967
P00142942,M,51-55,1,Himachal Pradesh,2,20965
P00306042,F,51-55,1,Karnataka,4,20965
P00114342,F,36-45,1,Uttar Pradesh,2,20963
P00271242,F,26-35,1,Delhi,1,20960
P00157142,M,46-50,0,Karnataka,3,20960
P00345242,F,36-45,0,Delhi,1,20959
P00067942,F,26-35,1,Madhya Pradesh,1,20955
P00191942,F,36-45,0,Delhi,4,20951.5
P00217442,F,26-35,0,Delhi,3,20950
P00303242,F,18-25,0,Maharashtra,3,20949
P00240042,M,18-25,0,Delhi,3,20948
P00084842,F,36-45,1,Delhi,4,20945
P00156242,F,46-50,1,Karnataka,2,20944
P00123142,M,26-35,0,Delhi,1,20943
P00260442,F,26-35,1,Delhi,1,20938
P00213742,F,18-25,0,Uttar Pradesh,2,20933
P00319942,F,36-45,0,Uttar Pradesh,3,20932
P00255842,F,26-35,0,Andhra Pradesh,2,20930
P00192542,F,46-50,0,Uttar Pradesh,1,20929
P00259142,F,36-45,1,Delhi,2,20928
P00084242,M,18-25,1,Jharkhand,3,20925
P00208742,M,51-55,0,Delhi,3,20920
P00163442,F,26-35,1,Delhi,1,20914
P00284742,F,36-45,1,Uttar Pradesh,2,20914
P00369042,F,26-35,0,Karnataka,3,20912
P00075542,F,36-45,0,Karnataka,4,20912
P00216042,F,51-55,0,Delhi,2,20908
P00142742,F,26-35,1,Karnataka,1,20908
P00345642,F,46-50,0,Karnataka,4,20906
P00315842,M,36-45,0,Uttar Pradesh,3,20900
P00114042,F,46-50,0,Delhi,1,20896
P00184942,F,26-35,0,Uttar Pradesh,1,20883
P00178242,F,26-35,1,Delhi,4,20875
P00124642,F,26-35,1,Delhi,2,20874
P00114142,F,36-45,0,Karnataka,1,20874
P00108942,F,36-45,0,Delhi,1,20873
P00062842,F,46-50,0,Delhi,3,20870
P00289942,F,36-45,0,Delhi,2,20867
P00113542,F,26-35,0,Karnataka,2,20865
P00294542,M,26-35,1,Jharkhand,3,20863
P00087442,F,26-35,0,Bihar,3,20860
P00334242,F,26-35,0,Karnataka,3,20855
P00117142,M,55+,0,Uttar Pradesh,2,20853
P00184042,F,26-35,0,Delhi,4,20852
P00368342,F,51-55,0,Karnataka,4,20850
P00309242,F,18-25,0,Madhya Pradesh,4,20847
P00315442,F,36-45,1,Delhi,2,20840
P00101342,M,51-55,1,Maharashtra,4,20837
P00232442,F,36-45,0,Delhi,2,20833
P00033742,F,36-45,1,Delhi,4,20819
P00288342,F,18-25,0,Uttar Pradesh,1,20816
P00228142,F,26-35,1,Karnataka,3,20815
P00114942,M,46-50,1,Karnataka,1,20815
P00232242,F,46-50,0,Delhi,4,20812
P00034742,F,26-35,0,Karnataka,2,20807
P00278042,F,26-35,0,Delhi,2,20805.45
P00363542,M,51-55,1,Gujarat,4,20796
P00363542,M,51-55,1,Rajasthan,2,20796
P00351042,M,0-17,0,Bihar,4,20788
P00324342,M,36-45,1,Karnataka,3,20783
P00179742,F,26-35,1,Delhi,1,20770
P00190242,F,26-35,1,Karnataka,4,20767
P00161442,F,36-45,0,Karnataka,1,20767
P00248142,F,51-55,0,Madhya Pradesh,2,20757
P00209842,F,26-35,1,Delhi,2,20752
P00205442,F,36-45,0,Delhi,2,20752
P00183142,F,46-50,0,Karnataka,4,20751
P00177842,F,36-45,0,Uttar Pradesh,4,20751
P00059242,F,26-35,1,Karnataka,3,20745
P00248942,F,46-50,1,Uttar Pradesh,4,20745
P00112842,F,36-45,1,Uttar Pradesh,2,20744
P00085242,M,46-50,0,Haryana,1,20739
P00127842,M,36-45,1,Karnataka,2,20739
P00242742,F,46-50,0,Madhya Pradesh,2,20729
P00183742,F,46-50,0,Delhi,4,20714
P00304642,F,46-50,0,Karnataka,4,20712
P00057642,F,26-35,1,Uttar Pradesh,1,20707
P00032042,F,51-55,0,Karnataka,1,20705
P00000142,F,36-45,0,Madhya Pradesh,2,20691
P00123842,M,51-55,1,Uttar Pradesh,3,20689
P00130642,F,26-35,1,Karnataka,2,20688
P00146342,M,26-35,0,Maharashtra,4,20678
P00120442,F,26-35,1,Karnataka,4,20677
P00148642,M,26-35,0,Kerala,1,20677
P00298942,M,26-35,0,Karnataka,3,20676
P00277642,F,46-50,0,Maharashtra,1,20673
P00159442,F,36-45,1,Karnataka,1,20669
P00344542,M,26-35,0,Delhi,4,20668
P00021842,F,46-50,1,Delhi,1,20668
P00322142,M,26-35,0,Maharashtra,2,20666
P00249542,F,36-45,0,Karnataka,3,20665
P00223642,F,36-45,1,Karnataka,1,20664
P00117842,F,36-45,0,Karnataka,3,20661
P00109842,M,36-45,0,Delhi,3,20660
P00059442,F,26-35,1,Delhi,2,20659
P00337442,F,36-45,1,Delhi,1,20659
P00122442,F,46-50,0,Karnataka,1,20659
P00267542,F,26-35,0,Delhi,4,20657
P00190242,F,46-50,1,Delhi,3,20654
P00356842,F,51-55,0,Maharashtra,2,20644
P00349142,F,36-45,0,Uttar Pradesh,1,20642
P00359242,M,36-45,1,Uttar Pradesh,4,20641
P00016542,F,26-35,1,Uttar Pradesh,1,20628
P00334242,M,46-50,0,Delhi,1,20627
P00218642,F,26-35,0,Uttarakhand,1,20623
P00110942,M,36-45,0,Himachal Pradesh,4,20622
P00273042,F,51-55,0,Delhi,4,20620
P00162442,F,26-35,0,Karnataka,4,20619
P00317842,F,26-35,0,Karnataka,3,20615
P00180442,F,26-35,0,Delhi,3,20608
P00100642,F,26-35,1,Uttarakhand,4,20608
P00071442,M,51-55,1,Haryana,4,20607
P00100842,M,36-45,1,Karnataka,1,20607
P00148042,M,26-35,0,Maharashtra,1,20606
P00227942,M,55+,1,Uttar Pradesh,2,20603
P00120342,F,36-45,0,Maharashtra,2,20602
P00180642,F,26-35,0,Karnataka,4,20600
P00193642,M,36-45,1,Karnataka,1,20600
P00033942,F,36-45,0,Delhi,1,20598
P00015742,F,26-35,1,Karnataka,3,20598
P00296642,F,26-35,0,Kerala,3,20598
P00015542,F,36-45,0,Kerala,3,20595.99
P00112542,F,18-25,1,Kerala,2,20594
P00127942,F,51-55,0,Madhya Pradesh,2,20589
P00157642,F,26-35,0,Delhi,1,20588
P00265242,F,46-50,1,Uttar Pradesh,1,20588
P00250342,F,26-35,0,Delhi,4,20586
P00115142,M,26-35,1,Madhya Pradesh,3,20586
P00274042,F,26-35,1,Karnataka,2,20581
P00249642,F,26-35,1,Maharashtra,2,20579
P00113442,M,26-35,1,Karnataka,4,20573
P00120242,F,26-35,0,Delhi,4,20572
P0096942,F,46-50,0,Karnataka,3,20570
P00249842,F,26-35,0,Kerala,4,20570
P00207742,F,36-45,1,Maharashtra,3,20569
P00233542,M,36-45,1,Delhi,3,20566
P00184942,M,36-45,1,Delhi,4,20559
P00032142,F,26-35,1,Uttar Pradesh,1,20558
P00278642,F,36-45,1,Delhi,1,20553
P00211242,M,51-55,0,Gujarat,4,20550
P00323042,F,46-50,1,Delhi,2,20549
P00233442,M,18-25,0,Bihar,2,20548
P00153142,F,36-45,0,Delhi,3,20547
P00068042,M,36-45,0,Karnataka,1,20546
P0099242,F,18-25,0,Uttar Pradesh,4,20544
P00118142,F,18-25,0,Kerala,1,20543
P00344842,F,18-25,0,Madhya Pradesh,3,20540
P00123142,F,26-35,0,Delhi,2,20537
P00036342,M,26-35,0,Delhi,1,20536
P00319042,M,26-35,0,Haryana,4,20536
P00127542,F,26-35,0,Karnataka,2,20536
P00127642,F,55+,1,Madhya Pradesh,1,20533
P00193542,F,51-55,0,Gujarat,1,20529
P00153842,F,36-45,1,Karnataka,4,20525
P00304942,F,26-35,1,Delhi,4,20516
P00227942,M,26-35,1,Andhra Pradesh,4,20515
P00173342,F,18-25,1,Uttar Pradesh,1,20512
P00277642,F,51-55,1,Delhi,1,20511
P00346042,F,36-45,1,Karnataka,1,20509
P00269642,F,36-45,1,Delhi,1,20508
P00018042,M,18-25,1,Telangana,1,20508
P00295842,F,51-55,0,Uttar Pradesh,2,20508
P00109742,M,51-55,0,Andhra Pradesh,4,20505
P00129842,F,46-50,0,Delhi,4,20503
P00182242,F,26-35,1,Karnataka,2,20502
P00346142,F,51-55,0,Karnataka,3,20502
P00057742,M,36-45,1,Karnataka,4,20501
P00215542,F,36-45,0,Delhi,1,20500
P00158742,M,26-35,0,Himachal Pradesh,4,20495
P00059442,M,51-55,0,Karnataka,1,20494
P00363342,F,26-35,1,Karnataka,1,20493
P00339842,F,26-35,0,Kerala,2,20492
P00111142,F,26-35,0,Karnataka,2,20488
P00324642,M,36-45,1,Delhi,2,20486
P0095542,F,26-35,1,Karnataka,1,20486
P00160042,M,26-35,0,Delhi,1,20484
P00115942,F,26-35,0,Madhya Pradesh,4,20483
P0096542,F,26-35,0,Kerala,2,20477
P00274042,F,26-35,1,Madhya Pradesh,3,20477
P0097142,F,46-50,0,Delhi,2,20476
P00146042,F,26-35,0,Karnataka,3,20471
P00147042,F,26-35,0,Kerala,1,20469
P00351242,F,18-25,0,Uttarakhand,1,20468
P00187342,F,18-25,1,Haryana,2,20464
P00054242,M,18-25,0,Himachal Pradesh,2,20463
P00241642,M,18-25,1,Madhya Pradesh,1,20457
P00172842,M,36-45,0,Uttar Pradesh,3,20457
P00199442,F,51-55,1,Delhi,2,20454
P00014542,F,18-25,0,Delhi,1,20450
P00214142,M,51-55,1,Uttar Pradesh,3,20448
P00182242,M,26-35,0,Uttar Pradesh,1,20445
P00050642,F,46-50,0,Uttar Pradesh,3,20442
P00101842,M,55+,1,Kerala,4,20440
P00085942,F,36-45,0,Karnataka,2,20438
P00268442,F,18-25,1,Karnataka,3,20433
P00110942,F,26-35,0,Delhi,1,20432
P00030442,F,26-35,1,Uttarakhand,2,20432
P00102442,F,26-35,0,Karnataka,4,20429
P00361642,M,55+,0,Delhi,4,20427
P00118542,M,55+,0,Madhya Pradesh,4,20424
P00265142,M,26-35,0,Andhra Pradesh,2,20423
P00213342,F,26-35,0,Maharashtra,1,20420
P0097842,M,18-25,0,Haryana,2,20413
P00332442,M,36-45,1,Uttar Pradesh,4,20410
P00041342,F,36-45,0,Bihar,3,20405
P00122442,M,55+,1,Karnataka,2,20405
P00145442,M,46-50,0,Jharkhand,4,20403
P00193842,M,36-45,1,Haryana,2,20394
P00176642,F,26-35,1,Delhi,3,20392
P00006442,F,36-45,0,Delhi,1,20387
P00274442,F,46-50,0,Maharashtra,2,20380
P00270942,F,26-35,0,Karnataka,1,20379
P00111042,F,46-50,0,Delhi,4,20375
P00184942,F,26-35,1,Delhi,3,20373
P00226242,F,51-55,0,Karnataka,2,20373
P00175242,M,55+,1,Karnataka,4,20364
P00075742,F,26-35,0,Karnataka,1,20363
P00337742,F,26-35,1,Karnataka,4,20362
P00194142,M,36-45,0,Uttar Pradesh,1,20361
P00037142,F,26-35,1,Delhi,3,20359
P0096442,F,26-35,0,Delhi,1,20359
P00193242,F,26-35,0,Kerala,4,20358
P00049442,F,18-25,1,Karnataka,4,20357
P00291542,F,51-55,0,Uttar Pradesh,1,20357
P00324442,M,36-45,0,Gujarat,4,20348
P00311642,F,36-45,1,Madhya Pradesh,4,20344
P00117142,F,36-45,0,Karnataka,3,20342
P00173342,F,36-45,0,Madhya Pradesh,1,20338
P00277842,M,26-35,1,Madhya Pradesh,1,20328
P00068142,F,26-35,1,Kerala,3,20323
P00106042,F,26-35,1,Maharashtra,2,20322
P00249842,F,26-35,1,Kerala,1,20317
P00350942,F,36-45,0,Delhi,4,20315
P00059442,F,36-45,1,Madhya Pradesh,4,20315
P00326642,F,36-45,0,Karnataka,3,20313
P00358442,M,18-25,1,Delhi,3,20312
P00332242,F,26-35,1,Delhi,4,20312
P00221042,M,26-35,0,Delhi,2,20312
P00059442,F,51-55,1,Uttar Pradesh,2,20310
P00184942,F,46-50,0,Madhya Pradesh,1,20309
P00282042,M,55+,0,Uttar Pradesh,1,20309
P00182342,F,36-45,1,Delhi,1,20308
P00215442,F,55+,0,Andhra Pradesh,4,20304
P00319842,F,26-35,1,Karnataka,1,20303
P00269242,F,26-35,0,Karnataka,4,20302
P00250242,F,36-45,1,Uttar Pradesh,3,20301
P00049642,F,18-25,1,Delhi,1,20295
P00033542,F,46-50,0,Delhi,3,20290
P00266542,F,26-35,0,Karnataka,3,20288
P00174142,M,36-45,0,Delhi,1,20286
P00304942,F,18-25,1,Haryana,2,20285
P00059142,M,36-45,0,Karnataka,4,20285
P00003242,F,26-35,1,Uttar Pradesh,4,20283
P00208342,F,36-45,0,Delhi,3,20281
P00319042,F,46-50,0,Haryana,3,20280
P00086442,M,36-45,0,Uttar Pradesh,3,20279
P00364842,F,55+,0,Andhra Pradesh,3,20278
P00113042,M,55+,0,Karnataka,2,20278
P00138542,F,36-45,1,Uttar Pradesh,1,20276
P00303442,F,36-45,0,Madhya Pradesh,3,20275
P00003242,M,36-45,1,Haryana,2,20269
P00221542,M,55+,0,Uttar Pradesh,2,20269
P00273942,F,26-35,0,Delhi,2,20262
P00265242,F,26-35,0,Karnataka,4,20260
P00177842,M,55+,1,Uttar Pradesh,4,20260
P00016542,M,18-25,0,Andhra Pradesh,3,20258
P00127642,F,26-35,1,Delhi,2,20258
P00249742,M,36-45,0,Madhya Pradesh,4,20257
P00196042,F,36-45,0,Karnataka,1,20253
P00288342,F,26-35,0,Karnataka,1,20252
P00115442,M,26-35,0,Karnataka,3,20251
P00119442,F,26-35,1,Delhi,2,20250
P00286442,F,18-25,0,Haryana,4,20246
P00255842,F,55+,0,Uttarakhand,2,20239
P00102342,F,51-55,0,Karnataka,3,20237
P00276642,F,51-55,0,Delhi,2,20236
P00321742,F,26-35,0,Madhya Pradesh,3,20233
P00259342,M,18-25,0,Gujarat,2,20232
P00277242,M,26-35,1,Andhra Pradesh,1,20230
P00210342,F,36-45,0,Karnataka,2,20230
P00273742,M,36-45,1,Himachal Pradesh,4,20229
P00346542,M,36-45,0,Uttar Pradesh,1,20227
P00090942,M,36-45,0,Karnataka,2,20224
P00125942,M,36-45,0,Uttar Pradesh,4,20216
P00231442,F,36-45,1,Uttar Pradesh,3,20212
P00028842,F,26-35,1,Himachal Pradesh,2,20211
P00351342,F,46-50,0,Karnataka,2,20211
P00058442,F,18-25,1,Delhi,1,20210
P00179042,M,26-35,1,Karnataka,3,20209
P00000142,M,46-50,0,Karnataka,4,20208
P00312342,F,51-55,0,Delhi,2,20207
P00118742,M,26-35,0,Karnataka,4,20206
P00304142,F,0-17,1,Uttar Pradesh,3,20205
P00370342,F,51-55,0,Madhya Pradesh,4,20204
P00240642,F,26-35,1,Karnataka,1,20203
P00041442,F,26-35,1,Gujarat,3,20201
P00328742,M,51-55,1,Himachal Pradesh,1,20201
P00264042,F,36-45,1,Delhi,3,20200
P00115942,M,36-45,0,Haryana,3,20196
P00170642,F,26-35,0,Delhi,3,20194
P00165442,F,26-35,1,Karnataka,1,20192
P00016842,F,18-25,0,Madhya Pradesh,1,20191
P00052542,M,26-35,1,Uttar Pradesh,3,20191
P00348242,M,26-35,0,Bihar,4,20189
P00102542,F,46-50,0,Karnataka,2,20188
P00232442,F,26-35,0,Delhi,2,20187
P00028842,F,26-35,1,Bihar,3,20173
P00068442,F,36-45,0,Delhi,3,20173
P00062842,F,26-35,0,Delhi,3,20169
P00346142,M,26-35,0,Karnataka,3,20166
P00109742,M,26-35,0,Maharashtra,2,20165
P00280642,F,26-35,1,Uttar Pradesh,3,20162
P00148742,M,51-55,0,Karnataka,2,20149
P00072242,M,36-45,0,Maharashtra,3,20149
P00270542,F,55+,1,Gujarat,2,20141
P00105142,F,26-35,1,Uttar Pradesh,4,20139
P00112242,M,26-35,0,Uttar Pradesh,3,20138
P00331942,F,36-45,0,Rajasthan,3,20131
P00073642,F,26-35,1,Uttarakhand,1,20131
P00182242,M,51-55,0,Uttar Pradesh,1,20120
P00288942,F,36-45,1,Maharashtra,2,20111
P00109542,M,36-45,0,Karnataka,4,20098
P00071442,M,26-35,1,Andhra Pradesh,4,20089
P00018042,F,18-25,0,Uttarakhand,4,20079
P00232842,M,36-45,0,Uttar Pradesh,3,20077
P00121042,M,36-45,1,Rajasthan,2,20066
P00302642,M,36-45,0,Himachal Pradesh,2,20064
P00010842,M,18-25,0,Maharashtra,4,20058
P00354342,M,0-17,1,Uttar Pradesh,2,20058
P00069542,F,55+,1,Madhya Pradesh,1,20056
P00251942,F,26-35,1,Kerala,1,20027
P00104842,F,36-45,0,Rajasthan,1,20022
P00046742,F,26-35,0,Andhra Pradesh,2,20014
P00020342,M,26-35,0,Madhya Pradesh,4,20007
P00338442,F,0-17,0,Uttar Pradesh,2,19991
P00259242,F,51-55,0,Himachal Pradesh,3,19990
P0096442,F,36-45,0,Uttarakhand,3,19975
P00252942,F,26-35,0,Haryana,3,19967
P00191442,F,18-25,1,Uttarakhand,4,19952
P00178342,F,36-45,0,Andhra Pradesh,2,19930
P00370342,F,36-45,0,Kerala,3,19927
P00325242,F,26-35,1,Maharashtra,3,19927
P00304742,M,26-35,0,Kerala,1,19920
P00151742,F,51-55,1,Himachal Pradesh,4,19919
P00103242,M,36-45,1,Uttarakhand,3,19911
P00166942,M,18-25,1,Uttar Pradesh,4,19909
P00178042,F,46-50,0,Gujarat,3,19907
P00044442,F,26-35,0,Maharashtra,3,19904
P00008742,F,0-17,0,Jharkhand,3,19903
P00325242,F,18-25,1,Haryana,2,19901
P00327342,F,26-35,0,Uttarakhand,4,19895
P00053842,M,26-35,0,Andhra Pradesh,1,19708
P00113942,F,18-25,0,Maharashtra,4,19705
P00190942,F,26-35,1,Maharashtra,2,19704
P00028542,F,18-25,1,Telangana,3,19702
P00312842,F,26-35,0,Uttar Pradesh,3,19699
P00051442,M,0-17,1,Kerala,1,19696
P00087042,M,0-17,1,Delhi,1,19695
P00301542,M,51-55,0,Uttar Pradesh,2,19695
P00027542,F,26-35,0,Andhra Pradesh,2,19690
P00026042,F,26-35,0,Gujarat,1,19690
P00218142,F,18-25,0,Karnataka,2,19687
P00165942,F,26-35,1,Himachal Pradesh,4,19686
P00197042,F,36-45,0,Karnataka,3,19686
P00154642,F,0-17,0,Rajasthan,2,19684
P00114942,F,18-25,0,Uttar Pradesh,4,19684
P00144242,F,26-35,0,Maharashtra,4,19683
P00334242,F,26-35,1,Karnataka,1,19681
P00351042,F,18-25,1,Maharashtra,3,19681
P00234542,F,18-25,0,Uttar Pradesh,3,19681
P00086442,M,51-55,0,Uttar Pradesh,2,19678
P00093242,F,55+,1,Kerala,3,19677
P00340942,F,26-35,0,Bihar,1,19676
P00036842,M,36-45,0,Uttar Pradesh,2,19676
P00182142,F,26-35,0,Andhra Pradesh,4,19674
P00085942,M,36-45,1,Uttar Pradesh,1,19674
P00179442,M,36-45,1,Jharkhand,2,19672
P00255842,M,26-35,0,Uttar Pradesh,1,19671
P00050542,F,26-35,0,Maharashtra,4,19670
P00119142,F,36-45,0,Uttar Pradesh,4,19670
P00129542,F,26-35,0,Karnataka,2,19669
P00255942,F,26-35,0,Maharashtra,4,19667
P00184942,F,26-35,1,Uttar Pradesh,1,19660
P00120042,F,18-25,1,Uttar Pradesh,4,19659
P00111942,M,51-55,0,Maharashtra,1,19658
P00344242,F,26-35,0,Andhra Pradesh,3,19654
P00241642,F,18-25,1,Haryana,3,19652
P00101342,F,51-55,1,Maharashtra,2,19650
P00043342,F,51-55,0,Uttar Pradesh,3,19646
P00148642,M,26-35,1,Punjab,4,19644
P00334642,F,51-55,0,Telangana,2,19643
P00331942,F,26-35,0,Madhya Pradesh,1,19642
P00102342,F,36-45,0,Haryana,2,19641
P00114842,F,36-45,0,Karnataka,1,19639
P00042242,F,26-35,0,Gujarat,2,19638
P00368642,F,36-45,1,Bihar,2,19637
P00080342,F,26-35,1,Haryana,1,19637
P00116642,F,26-35,1,Bihar,4,19634
P00181542,F,26-35,1,Uttar Pradesh,3,19630
P00118342,F,26-35,1,Uttar Pradesh,4,19629
P00113842,F,36-45,1,Andhra Pradesh,4,19628
P00020242,F,36-45,1,Maharashtra,3,19628
P00112542,F,26-35,1,Maharashtra,1,19625
P00155242,M,26-35,0,Maharashtra,3,19623
P00084842,F,18-25,0,Delhi,4,19620
P00278642,M,26-35,1,Maharashtra,2,19619
P00244142,F,36-45,1,Bihar,4,19617
P00043542,F,46-50,0,Bihar,2,19617
P00169442,F,36-45,0,Karnataka,4,19615
P00162942,F,26-35,0,Haryana,1,19614
P00319342,F,36-45,0,Uttar Pradesh,4,19613
P00279542,M,18-25,1,Uttar Pradesh,1,19609
P00058142,F,36-45,0,Karnataka,2,19608
P00350342,F,18-25,0,Uttar Pradesh,4,19604
P00307342,M,18-25,1,Uttar Pradesh,4,19603
P00338542,F,26-35,1,Uttar Pradesh,3,19603
P00113142,F,26-35,1,Uttar Pradesh,2,19602
P00084442,M,36-45,1,Himachal Pradesh,3,19600
P00145742,F,36-45,0,Haryana,3,19599
P00039442,F,18-25,0,Haryana,4,19596
P00183242,F,26-35,0,Andhra Pradesh,3,19595
P00330242,F,36-45,1,Uttar Pradesh,3,19591
P00370242,F,18-25,0,Uttar Pradesh,2,19589
P00219942,F,26-35,1,Andhra Pradesh,4,19587
P00151742,M,18-25,0,Andhra Pradesh,2,19586
P00212942,F,46-50,0,Andhra Pradesh,2,19586
P00151742,M,18-25,0,Kerala,1,19586
P00280242,F,51-55,1,Uttar Pradesh,4,19585
P00180342,F,26-35,0,Haryana,3,19583
P00114142,M,51-55,0,Uttar Pradesh,1,19583
P00179842,M,26-35,0,Haryana,1,19582
P00058442,M,26-35,0,Andhra Pradesh,2,19580
P00265742,F,18-25,0,Madhya Pradesh,2,19580
P00117742,M,18-25,1,Madhya Pradesh,3,19578
P00228142,M,26-35,0,Uttar Pradesh,2,19577
P00228142,M,26-35,0,Uttar Pradesh,4,19577
P00331842,M,36-45,0,Bihar,1,19575
P00354642,F,18-25,0,Uttar Pradesh,2,19575
P00237542,F,36-45,0,Uttar Pradesh,3,19575
P00328042,F,18-25,1,Bihar,1,19574
P00145942,M,26-35,0,Kerala,4,19574
P00194442,M,18-25,0,Delhi,3,19573
P00178842,M,18-25,0,Madhya Pradesh,2,19573
P00131542,F,36-45,0,Karnataka,4,19572
P00152742,F,55+,0,Maharashtra,4,19571
P00209842,F,46-50,0,Andhra Pradesh,3,19568
P00327242,M,51-55,0,Karnataka,4,19568
P00345842,F,18-25,0,Bihar,3,19567
P00088242,F,36-45,1,Karnataka,2,19567
P00244242,F,26-35,0,Delhi,1,19566.5
P00190142,F,26-35,0,Uttar Pradesh,2,19566
P00052642,F,36-45,0,Maharashtra,3,19565
P00113442,F,46-50,1,Karnataka,1,19564
P00133542,F,0-17,0,Maharashtra,2,19561
P00187442,M,26-35,0,Madhya Pradesh,4,19560
P00062842,M,18-25,1,Jharkhand,4,19557
P00346642,M,55+,0,Uttarakhand,2,19557
P00052042,F,51-55,0,Maharashtra,2,19556
P00070042,F,18-25,0,Karnataka,1,19555
P00014642,F,26-35,1,Maharashtra,4,19555
P00176542,F,26-35,0,Karnataka,4,19554
P00316642,F,26-35,1,Uttar Pradesh,1,19554
P00216342,F,26-35,0,Uttar Pradesh,4,19552
P00282242,F,46-50,1,Maharashtra,1,19551
P00129342,F,26-35,0,Gujarat,2,19548
P00184942,M,26-35,0,Karnataka,2,19547
P00316642,F,51-55,1,Maharashtra,4,19545
P00189842,F,36-45,0,Maharashtra,2,19536
P00103042,F,26-35,0,Haryana,3,19533
P00120442,F,26-35,1,Uttar Pradesh,3,19532
P00144642,M,26-35,1,Karnataka,1,19531
P00351942,F,18-25,0,Maharashtra,4,19531
P00208342,F,46-50,0,Maharashtra,3,19527
P00225642,F,26-35,0,Maharashtra,3,19524
P00195342,M,26-35,0,Karnataka,3,19522
P00151742,F,18-25,0,Uttar Pradesh,3,19522
